id,neumonic,muxB,ALU_select,muxPC,muxINC,muxY,ME,WE
0,add,0,0,0,0,0,0,1
,,,,,,,,
1,sub,0,1,0,0,0,0,1
,,,,,,,,
2,xor,0,5,0,0,0,0,1
,,,,,,,,
3,or,0,7,0,0,0,0,1
,,,,,,,,
4,and,0,6,0,0,0,0,1
,,,,,,,,
5,sll,0,8,0,0,0,0,1
,,,,,,,,
6,srl,0,9,0,0,0,0,1
,,,,,,,,
7,sra,0,10,0,0,0,0,1
,,,,,,,,
8,slt,0,14,0,0,0,0,1
,,,,,,,,
9,addi,1,0,0,0,0,0,1
,,,,,,,,
10,ori,1,7,0,0,0,0,1
,,,,,,,,
11,andi,1,6,0,0,0,0,1
,,,,,,,,
12,lb,1,0,0,0,1,1,1
,,,,,,,,
13,lh,1,0,0,0,1,1,1
,,,,,,,,
14,lw,1,0,0,0,1,1,1
,,,,,,,,
15,sb,1,0,0,0,0,2,0
,,,,,,,,
16,sh,1,0,0,0,0,2,0
,,,,,,,,
17,sw,1,0,0,0,0,2,0
,,,,,,,,
18,beq,0,11,0,0,0,0,0
,,,,,,,,
19,bne,0,12,0,0,0,0,0
,,,,,,,,
20,blt,0,14,0,0,0,0,0
,,,,,,,,
21,bge,0,13,0,0,0,0,0
,,,,,,,,
22,jal,0,0,0,1,2,0,1
,,,,,,,,
23,jalr,0,0,1,1,2,0,1
,,,,,,,,
24,lui,1,0,0,0,0,0,1
,,,,,,,,
25,auipc,0,0,0,0,0,0,0
,,,,,,,,
26,mul,0,2,0,0,0,0,1
,,,,,,,,
27,div,0,3,0,0,0,0,1
,,,,,,,,
28,rem,0,4,0,0,0,0,1
